ޜ�0��p��P��P����0��Q��A�A���P������0��0����A�p������0��p����P��p����A�0��P�������A�x��P��A����0��P����battery_voltage	64.00
dt_ms	42440.00
last_read_micros	10521324
current_read_micros	10563764
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1219999790
calculte_milli_coulombs_transffred	2122.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78372.00
last_read_micros	10563764
current_read_micros	10642136
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9186000823
calculte_milli_coulombs_transffred	3918.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39664.00
last_read_micros	10642136
current_read_micros	10681800
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9831999778
calculte_milli_coulombs_transffred	1983.2000732421
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42408.00
last_read_micros	10681800
current_read_micros	10724208
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1203999519
calculte_milli_coulombs_transffred	2120.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42404.00
last_read_micros	10724208
current_read_micros	10766612
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1201999187
calculte_milli_coulombs_transffred	2120.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	10766612
current_read_micros	10809028
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	10809028
current_read_micros	10851440
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	10851440
current_read_micros	10893856
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78424.00
last_read_micros	10893856
current_read_micros	10972280
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9211999893
calculte_milli_coulombs_transffred	3921.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39648.00
last_read_micros	10972280
current_read_micros	11011928
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9823999404
calculte_milli_coulombs_transffred	1982.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	11011928
current_read_micros	11054340
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11054340
current_read_micros	11096756
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11096756
current_read_micros	11139172
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11139172
current_read_micros	11181588
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42432.00
last_read_micros	11181588
current_read_micros	11224020
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1215999126
calculte_milli_coulombs_transffred	2121.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78360.00
last_read_micros	11224020
current_read_micros	11302380
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9180000305
calculte_milli_coulombs_transffred	3918.0002441406
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39644.00
last_read_micros	11302380
current_read_micros	11342024
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9822000503
calculte_milli_coulombs_transffred	1982.2000732421
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42432.00
last_read_micros	11342024
current_read_micros	11384456
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1215999126
calculte_milli_coulombs_transffred	2121.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11384456
current_read_micros	11426872
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11426872
current_read_micros	11469288
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42380.00
last_read_micros	11469288
current_read_micros	11511668
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1189999580
calculte_milli_coulombs_transffred	2119.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42432.00
last_read_micros	11511668
current_read_micros	11554100
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1215999126
calculte_milli_coulombs_transffred	2121.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78404.00
last_read_micros	11554100
current_read_micros	11632504
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9201998710
calculte_milli_coulombs_transffred	3920.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39672.00
last_read_micros	11632504
current_read_micros	11672176
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9836000442
calculte_milli_coulombs_transffred	1983.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42404.00
last_read_micros	11672176
current_read_micros	11714580
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1201999187
calculte_milli_coulombs_transffred	2120.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42420.00
last_read_micros	11714580
current_read_micros	11757000
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1210000514
calculte_milli_coulombs_transffred	2121.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42408.00
last_read_micros	11757000
current_read_micros	11799408
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1203999519
calculte_milli_coulombs_transffred	2120.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42404.00
last_read_micros	11799408
current_read_micros	11841812
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1201999187
calculte_milli_coulombs_transffred	2120.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	11841812
current_read_micros	11884228
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78400.00
last_read_micros	11884228
current_read_micros	11962628
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9200000762
calculte_milli_coulombs_transffred	3920.0002441406
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39648.00
last_read_micros	11962628
current_read_micros	12002276
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9823999404
calculte_milli_coulombs_transffred	1982.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	12002276
current_read_micros	12044688
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42428.00
last_read_micros	12044688
current_read_micros	12087116
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1213998794
calculte_milli_coulombs_transffred	2121.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	12087116
current_read_micros	12129528
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42408.00
last_read_micros	12129528
current_read_micros	12171936
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1203999519
calculte_milli_coulombs_transffred	2120.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	12171936
current_read_micros	12214348
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78416.00
last_read_micros	12214348
current_read_micros	12292764
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9208000183
calculte_milli_coulombs_transffred	3920.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39660.00
last_read_micros	12292764
current_read_micros	12332424
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9829999923
calculte_milli_coulombs_transffred	1983.0001220703
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42400.00
last_read_micros	12332424
current_read_micros	12374824
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1199998855
calculte_milli_coulombs_transffred	2120.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	12374824
current_read_micros	12417240
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	12417240
current_read_micros	12459656
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	12459656
current_read_micros	12502068
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	12502068
current_read_micros	12544484
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78416.00
last_read_micros	12544484
current_read_micros	12622900
shunt_voltage	-0.25
calculte_coulombs_transffred	-3.9208000183
calculte_milli_coulombs_transffred	3920.8002929687
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39648.00
last_read_micros	12622900
current_read_micros	12662548
shunt_voltage	-0.25
calculte_coulombs_transffred	-1.9823999404
calculte_milli_coulombs_transffred	1982.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	12662548
current_read_micros	12704964
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42440.00
last_read_micros	12704964
current_read_micros	12747404
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1219999790
calculte_milli_coulombs_transffred	2122.0000000000
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42416.00
last_read_micros	12747404
current_read_micros	12789820
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1208000183
calculte_milli_coulombs_transffred	2120.8000488281
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42412.00
last_read_micros	12789820
current_read_micros	12832232
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1205999851
calculte_milli_coulombs_transffred	2120.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42392.00
last_read_micros	12832232
current_read_micros	12874624
shunt_voltage	-0.25
calculte_coulombs_transffred	-2.1196000576
calculte_milli_coulombs_transffred	2119.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

BAT PERCENT
100.00 %
dt_ms	78384.00
last_read_micros	12874624
current_read_micros	12953008
shunt_voltage	-0.37
calculte_coulombs_transffred	-3.9191999435
calculte_milli_coulombs_transffred	3919.2001953125
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	39672.00
last_read_micros	12953008
current_read_micros	12992680
shunt_voltage	-0.37
calculte_coulombs_transffred	-1.9836000442
calculte_milli_coulombs_transffred	1983.6000976562
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
% batA	100000.00000
% batB	0.00000
% batC	-23.21429

dt_ms	42408.00
last_read_micros	12992680
current_read_micros	13035088
shunt_voltage	-0.37
calculte_coulombs_transffred	-2.1203999519
calculte_milli_coulombs_transffred	2120.4001464843
battery_capacity_coulomb	108000.0000000000
battery_capacity_milli_coulomb	108000000
BATTERY_CAPACITY_COULOMB	108000000.0000000000
BATTERY_CAPACITY_MILLI_COULOMB	625817600
% bat	ovf
% batA	ovf
% batB	0.00000
% batC	-70.41231
% bat	100000.00000
